"lag","mean","s.e","group"
-1,1.01872701142572,0.0354078245993354,1
5,1.01793569319575,0.0401430253013026,1
10,0.993120287708458,0.0367552454760283,1
15,1.02367619495339,0.044846354899465,1
20,0.939591390230846,0.0400297151637664,1
25,0.979097465755804,0.0419923350976409,1
30,0.85645209456695,0.0353332953564992,1
35,0.905419010393608,0.0412888008553,1
40,0.90221318799641,0.0437050403044515,1
45,0.876636691295836,0.0389041197745789,1
50,0.831697139595147,0.0395762598685453,1
55,0.840258562281411,0.0386316359302542,1
60,0.834993830768418,0.0401965448476594,1
65,0.87631375551093,0.0437395440945206,1
70,0.870817297239853,0.0425602800924721,1
80,0.898804774590411,0.0431806492280606,1
90,0.813788267814847,0.0377469751315698,1
100,0.815389375624542,0.0415374781340745,1
110,0.813618750835476,0.0429163226584531,1
120,0.909031019843969,0.0453313708879567,1
130,0.890766870365149,0.0399853029397599,1
140,0.919085900588248,0.0451784246379014,1
150,0.814735828244903,0.0373249965657186,1
-1,1.03779440908376,0.0218654182481354,2
5,0.950033489246681,0.0177494833161042,2
10,0.972114904107512,0.0186312023742274,2
15,0.956256768698843,0.02138080919128,2
20,0.915518736340453,0.0185307207902612,2
25,0.852145508859817,0.0137316848337987,2
30,0.86924484989848,0.0161291350807125,2
35,0.853690679065755,0.0170286385225681,2
40,0.848247989812549,0.0136907392771067,2
45,0.851679807224644,0.0162685918999715,2
50,0.829117292483164,0.0119089064309976,2
55,0.841073495158152,0.0171003787867173,2
60,0.84813135832911,0.0173725926211797,2
65,0.841685791968299,0.014859840574318,2
70,0.842850117577615,0.014029968901172,2
80,0.833872375979008,0.0164359664483701,2
90,0.846722891279739,0.0170887468817308,2
100,0.862592907087496,0.0193933628068327,2
110,0.837810695836289,0.013075745158941,2
120,0.84933982788303,0.0171747454747219,2
130,0.850595656709344,0.0144882971723301,2
140,0.816609192796239,0.013342708674067,2
150,0.847635795757471,0.0192809424848994,2
